,TOTALS,,,,AGE,,,,DRINKS,,,,RACE,,,,INDUSTRY,,,,ORIENTATION,,,,RELIGION,,,,LIST OF BIRACIAL RACES,,
,,,,,24,30,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,30,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,30,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
,,,,,24,31,,,often,socially,,,Other,white,,,computer / hardware / software,sales / marketing / biz dev,,,straight,straight,,,atheism,other,,,,,
